name,id,max_float,min_float,crates,rarity,weapon,stattrack,collections
★ Hand Wraps | Spruce DDPAT,skin-e757fd7191f9,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Hand Wraps,False,[]
★ Hand Wraps | Desert Shamagh,skin-7646a28247e0,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Hand Wraps,False,[]
★ Hand Wraps | Badlands,skin-71c8a21234d4,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Hand Wraps,False,[]
★ Hand Wraps | CAUTION!,skin-e728cedb22fe,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Hand Wraps,False,[]
★ Hand Wraps | Duct Tape,skin-03513562b183,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Hand Wraps,False,[]
★ Hand Wraps | Cobalt Skulls,skin-a4133c8cedcb,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Hand Wraps,False,[]
★ Hand Wraps | Overprint,skin-438616f5a678,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Hand Wraps,False,[]
★ Hand Wraps | Giraffe,skin-cde47366da64,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Hand Wraps,False,[]
★ Hand Wraps | Arboreal,skin-51c5ce405526,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Hand Wraps,False,[]
★ Hand Wraps | Leather,skin-fb30d56f4210,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Hand Wraps,False,[]
★ Hand Wraps | Constrictor,skin-be5a5c9a12c2,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Hand Wraps,False,[]
★ Hand Wraps | Slaughter,skin-1f6ac4772c2b,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Hand Wraps,False,[]
★ Moto Gloves | Eclipse,skin-d8671b33d6d9,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Moto Gloves,False,[]
★ Moto Gloves | Turtle,skin-6bd9ed91c37e,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Moto Gloves,False,[]
★ Moto Gloves | Blood Pressure,skin-38236b83de3c,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Moto Gloves,False,[]
★ Moto Gloves | Finish Line,skin-a35568f027a4,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Moto Gloves,False,[]
★ Moto Gloves | POW!,skin-509033032197,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Moto Gloves,False,[]
